pair,direction,datetime,price,price_5min_before,price_change_5min_percent,open_interest_usdt,volume_1h_usdt,high_1h,low_1h,profit_1h_percent,exchange
MTLUSDT,BUY,2025-10-26 22:00:00,$0.51140000,$0.50940000,+0.39%,"$1,227,247.22","$83,103.22",$0.52010000,$0.51060000,+1.70%,BINANCE
BASUSDT,SELL,2025-10-26 21:00:00,$0.01717000,$0.01703000,+0.82%,"$9,259,139.91","$1,856,816.92",$0.01724000,$0.01610000,+6.23%,BINANCE
CLOUSDT,SELL,2025-10-26 20:30:00,$0.36220000,$0.36210000,+0.03%,"$5,225,612.55","$1,080,284.97",$0.36820000,$0.35900000,+0.88%,BINANCE
PTBUSDT,SELL,2025-10-26 19:30:00,$0.03333000,$0.03302000,+0.94%,"$3,397,821.20","$291,440.26",$0.03373000,$0.03279000,+1.62%,BINANCE
APEUSDT,SELL,2025-10-26 19:15:00,$0.44320000,$0.44270000,+0.11%,"$8,534,749.30","$542,959.85",$0.44410000,$0.44150000,+0.38%,BINANCE
RIVERUSDT,SELL,2025-10-26 19:00:00,$7.46100000,$7.45700000,+0.05%,"$9,634,072.69","$1,275,189.10",$7.46900000,$7.23300000,+3.06%,BINANCE
STORJUSDT,SELL,2025-10-26 18:45:00,$0.18450000,$0.18460000,-0.05%,"$2,123,770.75","$42,581.96",$0.18470000,$0.18400000,+0.27%,BINANCE
RIVERUSDT,SELL,2025-10-26 18:45:00,$7.47200000,$7.44600000,+0.35%,"$9,625,687.95","$1,599,202.20",$7.49400000,$7.10000000,+4.98%,BINANCE
ZENUSDT,SELL,2025-10-26 18:30:00,$13.85800000,$13.75800000,+0.73%,"$12,948,321.13","$6,935,612.76",$13.96800000,$13.50000000,+2.58%,BINANCE
DASHUSDT,SELL,2025-10-26 18:30:00,$49.93000000,$49.57000000,+0.73%,"$13,812,697.30","$3,657,837.94",$50.40000000,$48.87000000,+2.12%,BINANCE
CLOUSDT,SELL,2025-10-26 18:30:00,$0.35890000,$0.35550000,+0.96%,"$5,214,461.26","$1,236,580.43",$0.36530000,$0.35040000,+2.37%,BINANCE
PTBUSDT,SELL,2025-10-26 17:45:00,$0.03309000,$0.03314000,-0.15%,"$3,402,184.77","$215,855.97",$0.03344000,$0.03281000,+0.85%,BINANCE
RAYDIUMUSDT,BUY,2025-10-26 17:30:00,$1.88170000,$1.88240000,-0.04%,"$1,698,868.11","$216,989.16",$1.89890000,$1.87380000,+0.91%,BYBIT
RAYDIUMUSDT,BUY,2025-10-26 17:00:00,$1.88470000,$1.88960000,-0.26%,"$1,698,868.11","$216,989.16",$1.89890000,$1.87380000,+0.75%,BYBIT
AIXBTUSDT,SELL,2025-10-26 16:30:00,$0.08207000,$0.08198000,+0.11%,"$9,170,131.10","$7,978,702.88",$0.08269000,$0.08108000,+1.21%,BINANCE
AIXBTUSDT,SELL,2025-10-26 16:15:00,$0.08140000,$0.08119000,+0.26%,"$9,170,131.10","$7,978,702.88",$0.08269000,$0.08108000,+0.39%,BINANCE
AIXBTUSDT,SELL,2025-10-26 15:45:00,$0.08269000,$0.08265000,+0.05%,"$9,172,188.78","$14,060,146.49",$0.08341000,$0.08025000,+2.95%,BINANCE
YALAUSDT,SELL,2025-10-26 15:45:00,$0.09820000,$0.09850000,-0.30%,"$3,089,293.53","$85,738.73",$0.09920000,$0.09690000,+1.32%,BINANCE
MAVIAUSDT,BUY,2025-10-26 15:30:00,$0.15020000,$0.14950000,+0.47%,"$10,811,027.46","$61,109,988.62",$0.16350000,$0.13330000,+8.85%,BINANCE
VVVUSDT,BUY,2025-10-26 14:30:00,$1.57900000,$1.58000000,-0.06%,"$2,005,324.86","$169,135.27",$1.58700000,$1.57100000,+0.51%,BINANCE
XNOUSDT,BUY,2025-10-26 13:30:00,$0.70860000,$0.70850000,+0.01%,"$234,634.89","$47,969.51",$0.71240000,$0.70460000,+0.54%,BYBIT
XNOUSDT,BUY,2025-10-26 13:15:00,$0.70590000,$0.70590000,+0.00%,"$234,634.89","$47,969.51",$0.71240000,$0.70460000,+0.92%,BYBIT
STGUSDT,BUY,2025-10-26 12:45:00,$0.15550000,$0.15500000,+0.32%,"$2,145,548.84","$186,669.62",$0.15680000,$0.15490000,+0.84%,BINANCE
MAVIAUSDT,BUY,2025-10-26 12:30:00,$0.11950000,$0.11080000,+7.85%,"$10,799,375.13","$33,929,366.97",$0.13060000,$0.10650000,+9.29%,BINANCE
