"id","pair_symbol","recommended_action","score_week","score_month","timestamp","created_at","trading_pair_id","exchange_id","score_week_filter","score_month_filter","max_trades_filter","stop_loss_filter","trailing_activation_filter","trailing_distance_filter"
6322165,"ESPORTSUSDT","SELL","92.90","69.70","2025-10-27 15:30:00+00","2025-10-27 15:49:01.782348+00",1013195,1,72,64,3,"5","2","0.5"
6322123,"PORT3USDT","SELL","92.90","69.70","2025-10-27 15:30:00+00","2025-10-27 15:49:01.782348+00",2571,1,72,64,3,"5","2","0.5"
6320708,"UBUSDT","SELL","85.10","72.40","2025-10-27 15:15:00+00","2025-10-27 15:34:02.193458+00",1013311,1,72,64,3,"5","2","0.5"
6311247,"PIXELUSDT","SELL","92.90","69.70","2025-10-27 13:30:00+00","2025-10-27 13:49:02.144043+00",2333,1,72,64,3,"5","2","0.5"
6309442,"AIXBTUSDT","SELL","92.90","69.70","2025-10-27 13:15:00+00","2025-10-27 13:33:02.314287+00",2456,1,72,64,3,"5","2","0.5"
6309508,"ESPORTSUSDT","SELL","92.90","69.70","2025-10-27 13:15:00+00","2025-10-27 13:33:02.314287+00",1013195,1,72,64,3,"5","2","0.5"
6309472,"PORT3USDT","SELL","92.90","69.70","2025-10-27 13:15:00+00","2025-10-27 13:33:02.314287+00",2571,1,72,64,3,"5","2","0.5"
6306496,"DEGENUSDT","SELL","88.90","66.70","2025-10-27 12:45:00+00","2025-10-27 13:04:01.839321+00",2428,1,72,64,3,"5","2","0.5"
6306481,"PIXELUSDT","SELL","85.10","72.40","2025-10-27 12:45:00+00","2025-10-27 13:04:01.839321+00",2333,1,72,64,3,"5","2","0.5"
6304512,"PIXELUSDT","SELL","92.90","69.70","2025-10-27 12:30:00+00","2025-10-27 12:49:01.609715+00",2333,1,72,64,3,"5","2","0.5"
6304611,"ESPORTSUSDT","SELL","92.90","69.70","2025-10-27 12:30:00+00","2025-10-27 12:49:01.609715+00",1013195,1,72,64,3,"5","2","0.5"
6302500,"PIXELUSDT","SELL","92.90","73.90","2025-10-27 12:15:00+00","2025-10-27 12:34:01.586146+00",2333,1,72,64,3,"5","2","0.5"
6302532,"PIPPINUSDT","SELL","92.90","69.70","2025-10-27 12:15:00+00","2025-10-27 12:34:01.586146+00",2483,1,72,64,3,"5","2","0.5"
6299469,"ESPORTSUSDT","SELL","85.10","72.40","2025-10-27 11:45:00+00","2025-10-27 12:04:02.082893+00",1013195,1,72,64,3,"5","2","0.5"
6299454,"TAIUSDT","SELL","92.90","69.70","2025-10-27 11:45:00+00","2025-10-27 12:04:02.082893+00",3061,2,71,61,2,"6","2","0.5"
6299379,"PIXELUSDT","SELL","92.90","69.70","2025-10-27 11:45:00+00","2025-10-27 12:04:02.082893+00",2333,1,72,64,3,"5","2","0.5"
6298004,"YALAUSDT","SELL","77.80","65.60","2025-10-27 11:30:00+00","2025-10-27 11:49:02.182854+00",1013204,1,72,64,3,"5","2","0.5"
6296467,"JUPUSDT","BUY","80.00","70.60","2025-10-27 11:15:00+00","2025-10-27 11:34:01.477482+00",2326,1,72,64,3,"5","2","0.5"
6292942,"PYRUSDT","BUY","76.20","66.70","2025-10-27 10:45:00+00","2025-10-27 11:04:01.684908+00",2972,2,71,61,2,"6","2","0.5"
6290410,"BLASTUSDT","BUY","80.00","70.60","2025-10-27 10:30:00+00","2025-10-27 10:48:00.908982+00",2684,2,71,61,2,"6","2","0.5"
6279628,"INUSDT","BUY","90.90","73.70","2025-10-27 09:00:00+00","2025-10-27 09:19:01.883858+00",1013203,1,72,64,3,"5","2","0.5"
